folio,ordenbicicleta,TipoBicicleta,OrdenConductor,SituacionBicicleta,BicicletaTrabajo,FactorExpansionB
10021,1,4,3,1,2,null
10022,3,1,4,1,2,null
10022,1,1,3,1,2,null
10022,2,1,4,1,2,null
10032,1,1,1,1,2,null
10032,2,1,2,1,2,null
10041,1,1,1,1,2,null
10062,1,1,1,1,2,null
10071,1,1,2,1,2,null
10102,2,1,2,1,2,null
10102,1,1,1,1,2,null
10141,1,1,1,1,2,null
10151,1,1,1,1,1,null
10151,2,4,2,1,1,null
10152,1,1,1,1,2,null
10172,1,3,1,1,2,null
10181,1,1,4,1,2,null
10181,2,1,4,1,2,null
10191,1,1,2,1,2,null
10211,1,1,1,1,2,null
10222,1,4,3,1,2,null
10222,2,1,2,1,2,null
10222,3,1,4,1,2,null
10231,1,4,2,1,2,null
10231,2,4,3,1,2,null
10232,1,1,2,1,2,null
10232,2,1,2,1,2,null
10232,3,1,3,1,2,null
10241,1,1,3,1,2,null
10252,2,1,3,1,1,null
10252,1,1,2,1,2,null
10261,2,1,1,1,1,null
10261,1,1,1,1,1,null
10271,1,1,2,1,2,null
10292,1,1,3,1,1,null
10321,2,1,3,1,2,null
10321,3,1,4,1,2,null
10321,1,1,2,1,2,null
10322,3,1,1,1,2,null
10322,2,1,2,1,2,null
10322,1,1,2,1,2,null
10322,4,1,1,1,2,null
10332,1,4,1,1,2,null
10332,2,4,2,1,2,null
10341,1,1,1,1,2,null
10341,2,1,1,1,2,null
10351,2,1,1,1,2,null
10351,1,1,1,1,2,null
10361,4,1,3,1,2,null
10361,1,1,1,1,2,null
10361,2,1,2,1,2,null
10361,3,1,3,1,2,null
10371,1,4,3,1,2,null
10401,1,1,2,1,2,null
10401,2,1,4,1,2,null
10402,2,2,1,1,2,null
10402,1,4,1,1,2,null
10411,1,1,1,1,2,null
10412,1,6,1,1,2,null
10431,1,2,1,1,2,null
10442,1,1,3,1,2,null
10442,2,1,4,1,2,null
10491,1,1,5,1,2,null
10491,2,1,6,1,2,null
10492,1,1,2,1,2,null
10501,1,1,2,1,2,null
10502,1,1,1,1,2,null
10521,1,1,1,1,2,null
10611,2,1,2,1,2,null
10611,1,1,2,1,2,null
10631,1,1,1,1,2,null
10651,2,1,2,1,2,null
10651,1,1,1,1,2,null
10662,2,4,2,1,2,null
10662,3,4,3,1,2,null
10662,4,6,4,1,2,null
10662,5,4,1,1,2,null
10662,1,4,1,1,2,null
10681,1,1,1,1,2,null
10691,1,4,1,1,2,null
10691,2,4,2,1,2,null
10691,3,4,3,1,2,null
10722,1,1,2,1,2,null
10731,2,1,2,1,1,null
10731,1,1,1,1,1,null
10732,1,1,2,1,2,null
10811,1,1,1,1,2,null
10821,1,1,1,1,2,null
10822,1,1,1,3,2,null
10851,2,1,3,1,2,null
10851,1,1,2,1,2,null
10852,1,1,2,1,2,null
10882,1,4,1,1,2,null
10901,1,1,1,1,2,null
10902,1,1,2,1,2,null
10981,2,1,2,1,1,null
10981,1,1,1,1,1,null
10992,1,1,1,1,1,null
11001,1,1,2,1,1,null
11042,1,4,3,1,2,null
11051,1,1,3,1,2,null
11052,1,1,2,1,2,null
11062,3,1,3,1,2,null
11062,2,1,2,1,2,null
11062,1,1,1,1,2,null
11071,1,1,2,1,2,null
11072,1,1,2,1,2,null
11092,1,1,3,1,2,null
11321,1,1,1,1,2,null
11332,1,1,1,1,1,null
11342,1,1,2,3,2,null
11351,1,1,2,1,2,null
11351,2,1,2,1,2,null
11362,1,1,3,1,2,null
11371,1,1,1,1,2,null
11371,2,1,2,1,2,null
11372,1,1,1,1,2,null
11372,2,1,2,1,2,null
11381,1,1,1,1,2,null
11381,2,1,2,1,2,null
11381,3,1,3,1,2,null
11382,2,1,2,1,2,null
11382,1,1,1,1,2,null
11392,1,1,2,1,2,null
11392,2,1,3,1,2,null
11401,1,4,2,1,2,null
11402,1,4,1,1,2,null
11411,1,1,3,1,2,null
11432,1,1,3,1,2,null
11461,1,1,1,1,2,null
11461,2,1,3,1,2,null
11502,1,1,1,1,2,null
11502,2,1,1,1,2,null
11622,1,1,1,1,1,null
11711,1,1,2,1,2,null
11742,1,1,1,1,1,null
11812,1,3,3,1,2,null
11822,2,4,1,1,2,null
11822,3,4,1,1,2,null
11822,1,4,1,1,2,null
11851,1,1,1,1,2,null
11852,1,4,1,1,2,null
11861,1,1,3,1,2,null
11872,1,1,1,1,2,null
11901,1,1,3,1,2,null
11902,2,2,3,1,2,null
11902,1,2,1,1,2,null
11962,1,1,1,1,2,null
11971,1,1,2,1,2,null
11971,3,1,2,1,2,null
11971,2,1,1,1,2,null
12001,1,1,3,1,2,null
12012,1,4,1,1,2,null
12052,1,1,1,1,2,null
12052,2,1,3,1,2,null
12061,2,1,2,1,2,null
12061,3,1,3,1,2,null
12061,1,1,1,1,2,null
12062,1,1,2,1,2,null
12081,1,2,1,1,2,null
12082,1,1,3,1,2,null
12121,1,1,3,1,2,null
12181,1,1,1,1,1,null
12191,1,1,1,1,2,null
12222,1,1,1,1,2,null
12231,1,1,1,1,2,null
12231,2,1,2,1,2,null
12231,3,1,3,1,2,null
12261,1,1,2,1,2,null
12262,2,1,2,1,2,null
12262,1,1,1,1,2,null
12292,1,1,3,1,2,null
12301,1,1,1,1,1,null
12322,1,1,1,1,2,null
12341,4,1,4,1,2,null
12341,3,1,3,1,2,null
12341,1,1,1,1,2,null
12341,2,1,2,1,2,null
12352,1,1,1,1,2,null
12401,2,1,3,1,2,null
12401,1,1,2,1,2,null
12401,3,1,4,1,2,null
12451,2,2,3,1,2,null
12451,1,2,4,1,2,null
12452,2,1,3,1,2,null
12452,1,1,1,1,2,null
12461,1,1,3,1,2,null
12461,2,1,4,1,2,null
12472,1,1,3,1,2,null
12511,1,2,1,1,2,null
12511,2,1,2,1,2,null
12522,1,4,1,1,2,null
12522,2,4,2,1,2,null
12522,3,4,3,1,2,null
12531,2,1,4,1,2,null
12531,1,1,3,1,2,null
